MOL_1,MOL_2,logV
COCCO,CCc1ccccc1,-7.02177
CCc1ccccc1,COCCO,-7.51925
COCCO,CCc1ccccc1,-6.94208
CCc1ccccc1,COCCO,-7.54948
COCCO,CCc1ccccc1,-6.87178
CCc1ccccc1,COCCO,-7.59075
COCCO,CCc1ccccc1,-6.81023
CCc1ccccc1,COCCO,-7.61447
COCCO,CCc1ccccc1,-6.78425
CCc1ccccc1,COCCO,-7.64085
COCCO,CCc1ccccc1,-6.76059
CCc1ccccc1,COCCO,-7.69936
COCCO,CCc1ccccc1,-6.72175
CCc1ccccc1,COCCO,-7.76935
COCCO,CCc1ccccc1,-6.69175
CCc1ccccc1,COCCO,-7.85291
COCCO,CCc1ccccc1,-6.67108
CCc1ccccc1,COCCO,-7.94845
COCCO,CCc1ccccc1,-6.66095
CCc1ccccc1,CCCCCC,-7.48822
CCCCCC,CCc1ccccc1,-8.44821
CCCCCC,CCc1ccccc1,-8.20646
CCc1ccccc1,CCCCCC,-7.48734
CCc1ccccc1,CCCCCC,-7.5009
CCCCCC,CCc1ccccc1,-8.39683
CCc1ccccc1,CCCCCC,-7.51977
CCCCCC,CCc1ccccc1,-8.35105
CCc1ccccc1,CCCCCC,-7.55441
CCCCCC,CCc1ccccc1,-8.30033
CCc1ccccc1,CCCCCC,-7.58669
CCCCCC,CCc1ccccc1,-8.27509
CCc1ccccc1,CCCCCC,-7.61835
CCCCCC,CCc1ccccc1,-8.2609
CCc1ccccc1,CCCCCC,-7.6459
CCCCCC,CCc1ccccc1,-8.43132
CCCCCC,CCc1ccccc1,-8.34234
CCc1ccccc1,CCCCCC,-7.64465
CCc1ccccc1,CCCCCC,-7.64914
CCCCCC,CCc1ccccc1,-8.41712
CCc1ccccc1,CCCCCC,-7.6478
CCCCCC,CCc1ccccc1,-8.4198
CCc1ccccc1,CCCCCC,-7.62699
CCCCCC,CCc1ccccc1,-8.44838
CCc1ccccc1,CCCCCC,-7.60656
CCCCCC,CCc1ccccc1,-8.46612
CCc1ccccc1,CCCCCC,-7.64276
CCCCCC,CCc1ccccc1,-8.45052
CCc1ccccc1,CCCCCC,-7.37345
CCCCCC,CCc1ccccc1,-8.46342
CCCCCC,CCc1ccccc1,-8.11128
CCc1ccccc1,CCCCCC,-7.37283
CCc1ccccc1,CCCCCC,-7.39295
CCCCCC,CCc1ccccc1,-8.38517
CCc1ccccc1,CCCCCC,-7.42641
CCCCCC,CCc1ccccc1,-8.30437
CCc1ccccc1,CCCCCC,-7.50112
CCCCCC,CCc1ccccc1,-8.19636
CCc1ccccc1,CCCCCC,-7.5715
CCCCCC,CCc1ccccc1,-8.14007
CCc1ccccc1,CCCCCC,-7.59986
CCCCCC,CCc1ccccc1,-8.12689
CCc1ccccc1,CCCCCC,-7.37217
CCCCCC,CCc1ccccc1,-8.46755
CCCCCC,CCc1ccccc1,-8.11134
CCc1ccccc1,CCCCCC,-7.3729
CCc1ccccc1,CCCCCC,-7.37156
CCCCCC,CCc1ccccc1,-8.47761
CCc1ccccc1,CCCCCC,-7.3786
CCCCCC,CCc1ccccc1,-8.43733
