Smiles,T,Property
CCOCCO,323,-6.80938
CCSSCC,298,-7.12176
CCSSCC,323,-7.39475
C1CCCCC1,298,-7.01763
C1CCCCC1,323,-7.40581
C1=CCCCC1,273,-7.02675
C1=CCCCC1,298,-7.39352
C1=CCCCC1,323,-7.6866
c1ccncc1,273,-6.60549
c1ccncc1,298,-7.02121
c1ccncc1,323,-7.354
C1COCCN1,298,-6.20331
C1COCCN1,323,-6.68232
CC(C)CNCC(C)C,298,-7.23231
CC(C)CNCC(C)C,323,-7.57531
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,273,-2.13055
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,298,-3.56197
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,323,-4.5389
CCCCCCCCCCCCCCCC(=O)OCCCC,298,-4.70704
CCCCCCCCCCCCCCCC(=O)OCCCC,323,-5.29574
CCCCCCCC(=O)OC,273,-6.14201
CCCCCCCC(=O)OC,298,-6.64162
CCCCCCCC(=O)OC,323,-7.02175
CCCCCCC(C)=O,273,-6.57852
CCCCCCC(C)=O,298,-6.9557
CCCCCCC(C)=O,323,-7.27796
CCCCCCC(=O)O,298,-5.56367
CCCCCCC(=O)O,323,-6.08607
BrCCCCCBr,298,-5.7686
BrCCCCCBr,323,-6.20844
CCCCCCBr,273,-6.57641
CCCCCCBr,298,-6.95251
CCCCCCBr,323,-7.25519
CCCCCCN,298,-7.16364
CCCCCCN,323,-7.52522
CCCCCCO,298,-5.39476
CCCCCCO,323,-6.09858
OCCCCCO,273,-0.905081
OCCCCCO,298,-2.38319
OCCCCCO,323,-3.5169
CCCCCCS,273,-6.80399
CCCCCCS,298,-7.2026
CCCCCCS,323,-7.51799
NCCNCCN,298,-5.17705
NCCNCCN,323,-5.94094
NCCNCCO,298,-2.31006
NCCNCCO,323,-3.7481
CCCOCCC,273,-7.52341
CCCOCCC,298,-7.82472
CCCOCCC,323,-8.09069
CCCSCCC,273,-7.00656
CCCSCCC,298,-7.34127
CCCSCCC,323,-7.61629
OCCSCCO,273,-0.755147
OCCSCCO,298,-1.89505
OCCSCCO,323,-2.83788
CC(=O)OCCOC(C)=O,273,-5.38215
CC(=O)OCCOC(C)=O,298,-6.00853
CC(=O)OCCOC(C)=O,323,-6.51465
