MolFrac_1,T
0.7227,303.15
0.8671,303.15
1.0,303.15
0.0,313.15
0.1686,313.15
0.3263,313.15
0.4251,313.15
0.4893,313.15
0.5043,313.15
0.534,313.15
0.5506,313.15
0.5803,313.15
0.6353,313.15
0.7227,313.15
0.8671,313.15
1.0,313.15
0.0,293.15
0.07182,293.15
0.1451,293.15
0.2211,293.15
0.311,293.15
0.395,293.15
0.4815,293.15
0.5607,293.15
0.6186,293.15
0.6723,293.15
0.7248,293.15
0.7794,293.15
0.8837,293.15
1.0,293.15
0.0,303.15
0.07182,303.15
0.1451,303.15
0.2211,303.15
0.311,303.15
0.395,303.15
0.4815,303.15
0.5607,303.15
0.6186,303.15
0.6723,303.15
0.7248,303.15
0.7794,303.15
0.8837,303.15
1.0,303.15
0.0,313.15
0.07182,313.15
0.1451,313.15
0.2211,313.15
0.311,313.15
0.395,313.15
0.4815,313.15
0.5607,313.15
0.6186,313.15
0.6723,313.15
0.7248,313.15
0.7794,313.15
0.8837,313.15
1.0,313.15
0.0,293.15
0.09296,293.15
0.1779,293.15
0.3108,293.15
0.4089,293.15
0.5253,293.15
0.6914,293.15
0.8336,293.15
1.0,293.15
0.0,303.15
0.09296,303.15
0.1779,303.15
0.3108,303.15
0.4089,303.15
0.5253,303.15
0.6914,303.15
0.8336,303.15
1.0,303.15
0.0,313.15
0.09296,313.15
0.1779,313.15
0.3108,313.15
0.4089,313.15
0.5253,313.15
0.6914,313.15
0.8336,313.15
1.0,313.15
0.0,323.15
0.09296,323.15
0.1779,323.15
0.3108,323.15
0.4089,323.15
0.5253,323.15
0.6914,323.15
0.8336,323.15
1.0,323.15
0.0,303.15
0.07555,303.15
0.1616,303.15
0.246,303.15
0.3265,303.15
0.4134,303.15
0.5065,303.15
0.5908,303.15
0.6928,303.15
0.7919,303.15
0.0,313.15
0.07555,313.15
0.1616,313.15
0.246,313.15
0.3265,313.15
0.4134,313.15
0.5065,313.15
0.5908,313.15
0.6928,313.15
0.7919,313.15
0.878,313.15
1.0,313.15
0.0,303.15
0.1011,303.15
0.2021,303.15
0.2913,303.15
0.3982,303.15
0.4731,303.15
0.5638,303.15
0.6538,303.15
0.7624,303.15
0.8131,303.15
0.8588,303.15
0.9056,303.15
0.0,313.15
0.1011,313.15
0.2021,313.15
0.2913,313.15
0.3982,313.15
0.4731,313.15
0.5638,313.15
0.6538,313.15
0.7624,313.15
0.8131,313.15
0.8588,313.15
0.9056,313.15
0.9521,313.15
1.0,313.15
0.0,303.15
0.06767,303.15
0.1295,303.15
0.178,303.15
0.2717,303.15
0.3836,303.15
0.4628,303.15
0.5508,303.15
0.6529,303.15
0.7913,303.15
0.8557,303.15
0.0,313.15
0.06767,313.15
0.1295,313.15
0.178,313.15
0.2717,313.15
0.3836,313.15
0.4628,313.15
0.5508,313.15
0.6529,313.15
0.7913,313.15
0.8557,313.15
1.0,313.15
0.0,293.15
0.0507,293.15
0.0831,293.15
0.1719,293.15
0.2846,293.15
0.3763,293.15
0.4837,293.15
0.5924,293.15
0.7038,293.15
0.8043,293.15
1.0,293.15
0.0,293.15
0.0584,293.15
0.115,293.15
0.2493,293.15
0.3435,293.15
0.4323,293.15
0.5436,293.15
0.6243,293.15
0.7492,293.15
0.84,293.15
1.0,293.15
0.0,293.15
0.0537,293.15
0.113,293.15
0.2245,293.15
0.3306,293.15
0.4448,293.15
0.5641,293.15
0.6497,293.15
0.7623,293.15
0.8785,293.15
1.0,293.15
0.0,293.15
0.0786,293.15
0.1517,293.15
0.2315,293.15
0.3105,293.15
0.3914,293.15
0.473,293.15
0.5355,293.15
0.6225,293.15
0.693,293.15
0.7683,293.15
0.8489,293.15
0.922,293.15
1.0,293.15
0.0,303.15
0.0741,303.15
0.1582,303.15
0.2314,303.15
0.3142,303.15
0.3889,303.15
0.4691,303.15
0.5374,303.15
0.6159,303.15
0.6906,303.15
0.7667,303.15
0.8466,303.15
0.9243,303.15
1.0,303.15
0.0,313.15
0.0741,313.15
0.1582,313.15
0.2314,313.15
0.3142,313.15
0.3889,313.15
0.4691,313.15
0.5374,313.15
0.6159,313.15
0.6906,313.15
0.7667,313.15
0.8466,313.15
0.9243,313.15
1.0,313.15
0.0,293.35
0.09206,293.35
0.1748,293.35
0.2667,293.35
0.3716,293.35
